epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,13712.8,1.01576,0.29041,0.07109,0.52677,1.02549,0.89126,0.85654,0.90062,0.61703,0.31471,0.22483,0.26596,0.26466,1.23098,0.93952,0.15078,0.59521,1.13801,0.00137984,0.00137984,0.00137984
89,13867.2,1.00593,0.30565,0.06688,0.52122,1.02098,0.89253,0.85127,0.8967,0.61727,0.31633,0.22092,0.26339,0.26141,1.22705,0.93125,0.16497,0.59518,1.13843,0.00137654,0.00137654,0.00137654
90,14023.6,1.0134,0.26172,0.07721,0.52153,1.02713,0.88917,0.85459,0.90235,0.62303,0.32372,0.22483,0.26497,0.26319,1.21497,0.93969,0.14597,0.58828,1.13032,0.00137324,0.00137324,0.00137324
91,14180,0.99946,0.30227,0.06687,0.51756,1.02294,0.89187,0.85342,0.90187,0.61852,0.31546,0.22824,0.26504,0.26323,1.21983,0.93137,0.14463,0.59966,1.13198,0.00136994,0.00136994,0.00136994
92,14335.5,1.00349,0.29125,0.06654,0.51827,1.02084,0.88982,0.84865,0.90269,0.62096,0.31217,0.22936,0.26024,0.25835,1.21401,0.93869,0.15314,0.59515,1.13104,0.00136664,0.00136664,0.00136664
93,14491.2,0.99303,0.27126,0.06632,0.51439,1.01941,0.88699,0.8492,0.89793,0.61817,0.30911,0.22695,0.2615,0.25961,1.21493,0.93135,0.16239,0.59538,1.13319,0.00136334,0.00136334,0.00136334
94,14646.4,0.99491,0.2938,0.07579,0.50898,1.01691,0.89308,0.85553,0.9035,0.62125,0.3128,0.22453,0.26284,0.2615,1.21611,0.93552,0.15945,0.58855,1.13302,0.00136004,0.00136004,0.00136004
95,14800.6,0.98165,0.3195,0.06849,0.50476,1.01418,0.89584,0.85422,0.90009,0.61899,0.30869,0.22694,0.25984,0.25695,1.21899,0.93798,0.15167,0.59111,1.13258,0.00135674,0.00135674,0.00135674
96,14955.6,0.98964,0.36475,0.06709,0.5117,1.01587,0.89548,0.85338,0.90314,0.62118,0.31681,0.22544,0.2675,0.26619,1.22367,0.93482,0.15425,0.58884,1.1388,0.00135344,0.00135344,0.00135344
97,15110.4,0.99621,0.29038,0.06983,0.51412,1.01415,0.89745,0.8519,0.90197,0.61996,0.32309,0.22604,0.2644,0.2632,1.21575,0.93624,0.16598,0.59281,1.12844,0.00135014,0.00135014,0.00135014
